CountyName,yw,weeklyCasesSum,weeklyCases,PopulationCensus16,weeklyCases_non_lag
Sligo,2022-03-27,27868.641620072158,-56.89435307198437,65535,1002.2997525858445
Sligo,2022-04-03,28355.404418576785,-515.5369540812171,65535,486.7627985046274
Sligo,2022-04-10,28667.56040937776,-174.60680770365434,65535,312.1559908009731
Sligo,2022-04-17,28885.982408527616,-93.7339916511155,65535,218.42199914985758
Sligo,2022-04-24,29037.918669413284,-66.48573826418942,65535,151.93626088566816
Sligo,2022-05-01,29141.026060229542,-48.828870069410186,65535,103.10739081625798
Sligo,2022-05-08,29242.38956282904,-1.7438882167589327,65535,101.36350259949904
Sligo,2022-05-15,29316.94078409573,-26.812281332811835,65535,74.55122126668721
Sligo,2022-05-22,29369.257430598685,-22.234574763730052,65535,52.316646502957155
Sligo,2022-05-29,29454.0539951389,32.47991803725745,65535,84.7965645402146
Sligo,2022-06-05,29556.943399928055,18.092840248940774,65535,102.88940478915538
Sligo,2022-06-12,29714.765283545326,54.93247882811556,65535,157.82188361727094
Sligo,2022-06-19,29955.857829513116,83.27066235051825,65535,241.0925459677892
Sligo,2022-06-26,30226.16050311173,29.21012763082399,65535,270.3026735986132
Sligo,2022-07-03,30558.37120840556,61.90803169521678,65535,332.21070529382996
Sligo,2022-07-10,30879.682612344543,-10.899301354846102,65535,321.31140393898386
Sligo,2022-07-17,31098.322597521514,-102.67141876201276,65535,218.6399851769711
Sligo,2022-07-24,31245.681151838173,-71.28143086031196,65535,147.35855431665914
Sligo,2022-07-31,31370.369159336886,-22.67054681794616,65535,124.68800749871298
Sligo,2022-08-07,31472.168633990557,-22.888532845041482,65535,101.7994746536715
Sligo,2022-08-14,31548.89971552824,-25.06839311598742,65535,76.73108153768408
Sligo,2022-08-21,31607.755942844073,-17.87485422185273,65535,58.85622731583135
Sligo,2022-08-28,31666.830156186985,0.21798602708076942,65535,59.07421334291212
Sligo,2022-09-04,31720.23673282543,-5.667636704467441,65535,53.406576638444676
Sligo,2022-09-11,31781.708792466412,8.065483002537803,65535,61.47205964098248
Sligo,2022-09-18,31830.319676508745,-12.861175598649425,65535,48.610884042333055
Sligo,2022-09-25,31874.570840009157,-4.359720541920979,65535,44.251163500412076
Sligo,2022-10-02,31916.860129265715,-1.961874243854254,65535,42.28928925655782
Sligo,2022-10-09,31985.96169985503,26.812281332757266,65535,69.10157058931509
Sligo,2022-10-16,32050.921535929545,-4.141734514800191,65535,64.9598360745149
Sligo,2022-10-23,32100.18637805317,-15.694993950888602,65535,49.264842123626295
Sligo,2022-10-30,32133.102268144616,-16.348952032181842,65535,32.91589009144445
Sligo,2022-11-06,32166.67211631737,0.6539580813114299,65535,33.56984817275588
Sligo,2022-11-13,32194.792313812686,-5.449650677441241,65535,28.120197495314642
Sligo,2022-11-20,32218.334804739014,-4.577706568987196,65535,23.542490926327446
Sligo,2022-11-27,32257.790275643343,15.912979978002113,65535,39.45547090432956
Sligo,2022-12-04,32292.886026005744,-4.3597205419282545,65535,35.095750362401304
Sligo,2022-12-11,32334.9573292352,6.975552867053921,65535,42.071303229455225
Sligo,2022-12-18,32436.756803888857,59.72817142420172,65535,101.79947465365694
Sligo,2022-12-25,32525.69510294393,-12.86117559858394,65535,88.938299055073
Sligo,2023-01-01,32626.404647462114,11.771245463110972,65535,100.70954451818398
Sligo,2023-01-08,32726.6782199261,-0.4359720541979186,65535,100.27357246398606
Sligo,2023-01-15,32754.798417421443,-72.15337496864231,65535,28.120197495343746
Sligo,2023-01-22,32767.223620965902,-15.694993950884964,65535,12.425203544458782
Tipperary,2020-03-01,0,0,159553,0
Tipperary,2020-03-08,1.0744302609701573,1.0744302609701573,159553,1.0744302609701573
Tipperary,2020-03-15,4.118649333718939,1.9697888117786249,159553,3.044219072748782
Tipperary,2020-03-22,23.727001596424298,16.56413318995658,159553,19.60835226270536
Tipperary,2020-03-29,62.67509855659249,19.339744697462827,159553,38.948096960168186
Tipperary,2020-04-05,100.72783696595216,-0.8953585508085098,159553,38.05273840935968
Tipperary,2020-04-12,169.93905294344657,31.158477568134728,159553,69.2112159774944
Tipperary,2020-04-19,215.78141074483972,-23.368858176101256,159553,45.84235780139315
Tipperary,2020-04-26,276.48672048965386,14.862951943420995,159553,60.705309744814144
Tipperary,2020-05-03,318.4790365225706,-18.71299371189741,159553,41.99231603291673
Tipperary,2020-05-10,330.92452037880844,-29.54683217667889,159553,12.445483856237843
Tipperary,2020-05-17,336.29667168365944,-7.073332551386841,159553,5.372151304851002
Tipperary,2020-05-24,337.37110194462946,-4.297721043880983,159553,1.0744302609700185
Tipperary,2020-05-31,340.14671345213526,1.701181246535782,159553,2.7756115075058005
Tipperary,2020-06-07,340.77346443770125,-2.1488605219398096,159553,0.626750985565991
Tipperary,2020-06-14,340.952536147863,-0.4476792754042549,159553,0.17907171016173606
Tipperary,2020-06-21,341.48975127834814,0.3581434203234153,159553,0.5372151304851513
Tipperary,2020-06-28,341.579287133429,-0.44767927540431174,159553,0.08953585508083961
Tipperary,2020-07-05,342.1165022639142,0.4476792754043686,159553,0.5372151304852082
Tipperary,2020-07-12,342.206038118995,-0.4476792754043686,159553,0.08953585508083961
Tipperary,2020-07-19,342.92232495964186,0.626750985565991,159553,0.7162868406468306
Tipperary,2020-07-26,343.8176835104504,0.17907171016173606,159553,0.8953585508085666
Tipperary,2020-08-02,344.713042061259,0,159553,0.8953585508085666
Tipperary,2020-08-09,349.1898348153007,3.5814342032331297,159553,4.476792754041696
Tipperary,2020-08-16,386.6158222390947,32.94919466975233,159553,37.42598742379403
Tipperary,2020-08-23,427.265100445799,3.223290782910283,159553,40.64927820670431
Tipperary,2020-08-30,453.23049841924455,-14.683880233258776,159553,25.965397973445533
Tipperary,2020-09-06,463.437585898461,-15.758310494229079,159553,10.207087479216455
Tipperary,2020-09-13,472.30163555146487,-1.3430378262125942,159553,8.86404965300386
Tipperary,2020-09-20,480.80754178414526,-0.35814342032347213,159553,8.505906232680388
Tipperary,2020-09-27,502.9228979891144,13.609449972288758,159553,22.115356204969146
Tipperary,2020-10-04,539.0953834417761,14.057129247692558,159553,36.172485452661704
Tipperary,2020-10-11,588.6982471565652,13.43037826212742,159553,49.60286371478912
Tipperary,2020-10-18,660.0583236559996,21.757212784645276,159553,71.3600764994344
Tipperary,2020-10-25,725.6881054302603,-5.730294725173735,159553,65.62978177426066
Tipperary,2020-11-01,789.7062418130653,-1.6116453914556814,159553,64.01813638280498
Tipperary,2020-11-08,840.9207509193095,-12.803627276560746,159553,51.214509106244236
Tipperary,2020-11-15,892.6724751560386,0.5372151304848103,159553,51.751724236729046
Tipperary,2020-11-22,930.7252135653982,-13.69898582736937,159553,38.05273840935968
Tipperary,2020-11-29,976.7466430769533,7.968691102195407,159553,46.021429511555084
Tipperary,2020-12-06,1012.7400568194543,-10.02801576905415,159553,35.993413742500934
Tipperary,2020-12-13,1046.4055383298528,-2.3279322321023983,159553,33.665481510398536
Tipperary,2020-12-20,1094.2176849430243,14.146665102773,159553,47.812146613171535
Tipperary,2020-12-27,1205.5107528085143,63.48092125231847,159553,111.29306786549
Tipperary,2021-01-03,1610.4814253391844,293.67760466518007,159553,404.9706725306701
Tipperary,2021-01-10,2187.45047548016,171.99837761030562,159553,576.9690501409757
Tipperary,2021-01-17,2506.645798843374,-257.7737267777618,159553,319.1953233632139
Tipperary,2021-01-24,2688.4035846574943,-137.43753754909358,159553,181.75778581412033
Tipperary,2021-01-31,2802.6513357406543,-67.51003473096034,159553,114.24775108315998
Tipperary,2021-02-07,2878.756812559373,-38.14227426444131,159553,76.10547681871867
Tipperary,2021-02-14,2967.934524219897,13.072234841805312,159553,89.17771166052398
Tipperary,2021-02-21,3071.0798292730315,13.967593392610524,159553,103.1453050531345
Tipperary,2021-02-28,3143.5143360334355,-30.710798292730487,159553,72.43450676040402
Tipperary,2021-03-07,3199.8323888792897,-16.116453914549766,159553,56.318052845854254
Tipperary,2021-03-14,3278.3553337851913,22.204892060047314,159553,78.52294490590157
Tipperary,2021-03-21,3372.9947326056486,16.116453914555677,159553,94.63939882045725
Tipperary,2021-03-28,3441.7582693077356,-25.87586211837015,159553,68.7635367020871
Tipperary,2021-04-04,3485.7203741524313,-24.801431857391435,159553,43.96210484469566
Tipperary,2021-04-11,3512.8497382419287,-16.8327407551983,159553,27.129364089497358
Tipperary,2021-04-18,3575.077157523117,35.098055191690946,159553,62.227419281188304
Tipperary,2021-04-25,3661.03157840073,23.727001596424543,159553,85.95442087761285
Tipperary,2021-05-02,3721.8264240006242,-25.15957527771843,159553,60.794845599894415
Tipperary,2021-05-09,3750.0302183510917,-32.59105124942698,159553,28.203794350467433
Tipperary,2021-05-16,3770.533929164604,-7.700083536954935,159553,20.503710813512498
Tipperary,2021-05-23,3797.8423649642627,6.804724986146084,159553,27.308435799658582
Tipperary,2021-05-30,3829.9857369382844,4.834936174363065,159553,32.14337197402165
Tipperary,2021-06-06,3875.2013437541127,13.072234841806676,159553,45.21560681582832
Tipperary,2021-06-13,3904.3900325104687,-16.026918059472337,159553,29.188688756355987
Tipperary,2021-06-20,3926.5053887154386,-7.073332551386102,159553,22.115356204969885
Tipperary,2021-06-27,3946.0242051230643,-2.5965397973441213,159553,19.518816407625764
Tipperary,2021-07-04,3970.1093501398086,4.5663286091185,159553,24.085145016744264
Tipperary,2021-07-11,4001.715506983349,7.521011826795984,159553,31.606156843540248
Tipperary,2021-07-18,4078.3581989325558,45.036535105666644,159553,76.64269194920689
Tipperary,2021-07-25,4205.946792422762,50.94590154099933,159553,127.58859349020622
Tipperary,2021-08-01,4320.552686926244,-12.982698986724245,159553,114.60589450348198
Tipperary,2021-08-08,4468.913598795206,33.755017365479944,159553,148.36091186896192
Tipperary,2021-08-15,4687.2915493373885,70.01703867322067,159553,218.3779505421826
Tipperary,2021-08-22,5001.204257250838,95.534757371267,159553,313.9127079134496
Tipperary,2021-08-29,5208.658833473157,-106.4581316911308,159553,207.4545762223188
Tipperary,2021-09-05,5370.71873116949,-45.39467852598591,159553,162.05989769633288
Tipperary,2021-09-12,5513.707491733603,-19.07113713221952,159553,142.98876056411336
Tipperary,2021-09-19,5664.664943399907,7.96869110219086,159553,150.95745166630422
Tipperary,2021-09-26,5818.845685849125,3.223290782913864,159553,154.1807424492181
Tipperary,2021-10-03,5954.402970441528,-18.62345785681555,159553,135.55728459240254
Tipperary,2021-10-10,6139.563118748719,49.60286371478833,159553,185.16014830719087
Tipperary,2021-10-17,6380.504104771276,55.78083771536603,159553,240.9409860225569
Tipperary,2021-10-24,6642.306945027672,20.86185423383904,159553,261.80284025639594
Tipperary,2021-10-31,7046.740402427856,142.63061714378819,159553,404.4334574001841
Tipperary,2021-11-07,7573.03215859307,121.85829876502976,159553,526.2917561652139
Tipperary,2021-11-14,8187.069052737515,87.74513797923191,159553,614.0368941444458
Tipperary,2021-11-21,8907.205935152762,106.09998827080108,159553,720.1368824152469
Tipperary,2021-11-28,9700.40407531398,73.06125774597058,159553,793.1981401612175
Tipperary,2021-12-05,10440.865596832571,-52.73661864262613,159553,740.4615215185913
Tipperary,2021-12-12,11063.945612340185,-21.24238161792391,159553,719.2191399006674
Tipperary,2021-12-19,11775.397516812614,-2.171244485704392,159553,717.047895414963
Tipperary,2021-12-26,12668.159527823715,24.890967712470683,159553,741.9388631274337
Tipperary,2022-01-02,14351.254531633473,235.65837057279168,159553,977.5972337002254
Tipperary,2022-01-09,16122.990031973257,287.16387120804256,159553,1264.761104908268
Tipperary,2022-01-16,17765.077614155987,232.65891942757526,159553,1497.4200243358432
Tipperary,2022-01-23,20157.83380533653,374.99854504236055,159553,1872.4185693782038
Tipperary,2022-01-30,22291.383696058,112.61372172792835,159553,1985.032291106132
Tipperary,2022-02-06,23045.09652412857,-254.50566806730376,159553,1730.5266230388283
Tipperary,2022-02-13,23755.115854919684,-233.01706284790407,159553,1497.5095601909243
Tipperary,2022-02-20,24374.077221093587,-443.44870625166004,159553,1054.0608539392642
Tipperary,2022-02-27,24894.728218388715,-403.22472335658586,159553,650.8361305826784
Tipperary,2022-03-06,25386.727742057956,-158.8366069134372,159553,491.99952366924117
Tipperary,2022-03-13,26069.080493629084,190.3532279018873,159553,682.3527515711285
Tipperary,2022-03-20,27050.751608735485,299.3183635352725,159553,981.671115106401
Tipperary,2022-03-27,28113.542208545143,81.1194847032566,159553,1062.7905998096576
Tipperary,2022-04-03,28746.56070396673,-429.77210438807015,159553,633.0184954215874
Tipperary,2022-04-10,29116.612393015843,-262.9668063724748,159553,370.0516890491126
Tipperary,2022-04-17,29383.339705301685,-103.32437676327027,159553,266.72731228584234
Tipperary,2022-04-24,29607.806093989373,-42.26092359815448,159553,224.46638868768787
Tipperary,2022-05-01,29746.855276929913,-85.41720574714782,159553,139.04918294054005
Tipperary,2022-05-08,29941.685297585842,55.78083771538877,159553,194.83002065592882
Tipperary,2022-05-15,30169.464512911527,32.94919466975625,159553,227.77921532568507
Tipperary,2022-05-22,30283.622728139584,-113.62100009762798,159553,114.15821522805709
Tipperary,2022-05-29,30380.052844061687,-17.728099305953947,159553,96.43011592210314
Tipperary,2022-06-05,30572.1072532101,95.62429322630851,159553,192.05440914841165
Tipperary,2022-06-12,30760.04301302477,-4.118649333740905,159553,187.93575981467075
Tipperary,2022-06-19,31005.90847107677,57.92969823733074,159553,245.8654580520015
Tipperary,2022-06-26,31310.688521771986,58.91459264321384,159553,304.7800506952153
Tipperary,2022-07-03,31676.979704907728,61.511132440526126,159553,366.29118313574145
Tipperary,2022-07-10,32042.644137057887,-0.6267509855824756,159553,365.664432150159
Tipperary,2022-07-17,32503.843326579343,95.53475737129702,159553,461.199189521456
Tipperary,2022-07-24,32651.040272332273,-314.00224376852566,159553,147.19694575293033
Tipperary,2022-07-31,32722.937563962172,-75.29965412303136,159553,71.89729162989897
Tipperary,2022-08-07,32799.66979176647,4.8349361744003545,159553,76.73222780429933
Tipperary,2022-08-14,32886.07189191947,9.669872348698846,159553,86.40210015299817
Tipperary,2022-08-21,32941.852729634855,-30.62126243761304,159553,55.78083771538513
Tipperary,2022-08-28,33006.497617003246,8.864049653006077,159553,64.64488736839121
Tipperary,2022-09-04,33059.05516393567,-12.087340435966325,159553,52.557546932424884
Tipperary,2022-09-11,33106.1510237082,-5.4616871598991565,159553,47.09585977252573
Tipperary,2022-09-18,33148.77009072667,-4.47679275405244,159553,42.61906701847329
Tipperary,2022-09-25,33199.08924128211,7.700083536969032,159553,50.31915055544232
Tipperary,2022-10-02,33261.048052998056,11.639661160501419,159553,61.95881171594374
Tipperary,2022-10-09,33312.97884894494,-10.028015769057674,159553,51.930795946886064
Tipperary,2022-10-16,33353.26998373132,-11.639661160508695,159553,40.29113478637737
Tipperary,2022-10-23,33387.65175208238,-5.909366435313132,159553,34.38176835106424
Tipperary,2022-10-30,33415.407867157446,-6.625653276001685,159553,27.756115075062553
Tipperary,2022-11-06,33448.357061827184,5.19307959467551,159553,32.94919466973806
Tipperary,2022-11-13,33478.79925255467,-2.5070039422498667,159553,30.442190727488196
Tipperary,2022-11-20,33511.121696238886,1.8802529567255988,159553,32.322443684213795
Tipperary,2022-11-27,33549.71164977873,6.267509855628305,159553,38.5899535398421
Tipperary,2022-12-04,33592.330716797216,4.0291134786457405,159553,42.61906701848784
Tipperary,2022-12-11,33666.91408407953,31.964300263825862,159553,74.5833672823137
Tipperary,2022-12-18,33767.82099275566,26.323541393816413,159553,100.90690867613012
Tipperary,2022-12-25,33851.17887383592,-17.549027595872758,159553,83.35788108025736
Tipperary,2023-01-01,33947.60898975802,13.072234841842146,159553,96.4301159220995
Tipperary,2023-01-08,34021.11792677937,-22.921178900745872,159553,73.50893702135363
Tipperary,2023-01-15,34056.21598197106,-38.41088182966632,159553,35.09805519168731
Tipperary,2023-01-22,34071.750452827604,-19.56358433514106,159553,15.53447085654625
Waterford,2020-03-01,0,0,116176,0
Waterford,2020-03-08,0.9837291203494208,0.9837291203494208,116176,0.9837291203494208
Waterford,2020-03-15,6.148307002183879,4.180848761485038,116176,5.164577881834458
Waterford,2020-03-22,19.920514687075787,8.60762980305745,116176,13.772207684891908
Waterford,2020-03-29,33.077891671749256,-0.6148307002184392,116176,13.15737698467347
Waterford,2020-04-05,49.80128671768943,3.5660180612667034,116176,16.723395045940173
Waterford,2020-04-12,84.10883978987549,17.584158026245888,116176,34.30755307218606
Waterford,2020-04-19,103.29155763668909,-15.124835225372458,116176,19.182717846813603
Waterford,2020-04-26,114.48147638066386,-7.9927991028388305,116176,11.189918743974772
Waterford,2020-05-03,117.92452830188657,-7.746866822752068,116176,3.443051921222704
Waterford,2020-05-10,120.99868180297872,-0.36889842013054874,116176,3.0741535010921552
Waterford,2020-05-17,124.687666004289,0.6148307002181213,116176,3.6889842013102765
Waterford,2020-05-24,126.65512424498772,-1.721525960611558,116176,1.9674582406987184
Waterford,2020-05-31,128.37665020559913,-0.2459322800873025,116176,1.721525960611416
Waterford,2020-06-07,129.114447045861,-0.9837291203495511,116176,0.7377968402618649
Waterford,2020-06-14,129.72927774607956,-0.12296614004330308,116176,0.6148307002185618
Waterford,2020-06-21,130.9589391465167,0.6148307002185902,116176,1.229661400437152
