CountyName,yw,weeklyCasesSum,weeklyCases,PopulationCensus16
Carlow,2020-03-29,11.542592165089191,4.265740582750371,56932
Carlow,2020-04-05,39.646294827914986,18.066665997530826,56932
Carlow,2020-04-12,105.63981090222941,15.808332747839813,56932
Carlow,2020-04-19,143.02777248045285,-66.49536790757962,56932
Carlow,2020-04-26,178.4083267256177,26.598147163032408,56932
Carlow,2020-05-03,230.34999146851885,18.56851783079486,56932
Carlow,2020-05-10,244.15091688329943,-54.70184982585684,56932
Carlow,2020-05-17,252.18054621553514,32.369443245575695,56932
Carlow,2020-05-24,263.97406429725686,9.535184832030865,56932
Carlow,2020-05-31,282.2916562114199,2.760185082955303,56932
Carlow,2020-06-07,287.5611004606999,-19.572221497324307,56932
Carlow,2020-06-14,294.08517429314173,14.302777248044833,56932
Carlow,2020-06-21,296.845359376098,-5.018518332647432,56932
Carlow,2020-06-28,296.845359376098,1.0037036665293613,56932
Carlow,2020-07-05,297.59813712599487,3.512962832853134,56932
Carlow,2020-07-12,300.358322208951,1.254629583162341,56932
Carlow,2020-07-19,303.6203591251717,-1.5055554997946388,56932
Carlow,2020-07-26,303.871285041804,-3.5129628328530202,56932
Carlow,2020-08-02,307.88609970792214,6.774999749074254,56932
Carlow,2020-08-09,334.7351727875863,19.070369664060195,56932
Carlow,2020-08-16,367.1046160331626,-17.313888247633884,56932
Carlow,2020-08-23,401.48146661179726,-3.512962832853759,56932
Carlow,2020-08-30,419.0462807760637,-18.81944374742659,56932
Carlow,2020-09-06,428.3305396914613,8.531481165499315,56932
Carlow,2020-09-13,449.91016852184555,20.575925163855572,56932
Carlow,2020-09-20,467.725908602744,-16.059258664472452,56932
Carlow,2020-09-27,488.3018337665987,6.524073832441957,56932
Carlow,2020-10-04,512.641647679939,1.0037036665294181,56932
Carlow,2020-10-11,587.166644919754,46.421294576989226,56932
Carlow,2020-10-18,716.6444179020584,4.767592416014452,56932
Carlow,2020-10-25,842.1073762182455,-58.96759040860661,56932
Carlow,2020-11-01,909.1045959590888,-54.45092390922639,56932
Carlow,2020-11-08,944.4851502042536,26.84907307966523,56932
Carlow,2020-11-15,988.3971856149193,40.14814666117934,56932
Carlow,2020-11-22,1017.7555178609085,-23.0851843301773,56932
Carlow,2020-11-29,1076.723108269513,44.16296132729167,56932
Carlow,2020-12-06,1150.9971795926972,-14.302777248035454,56932
Carlow,2020-12-13,1242.5851391635128,2.007407333051674,56932
